data_type,root_name_path,root_category_path,family_name,family_file_path,use_counter,used_by,pattern_name,pattern_id
LinePattern,Sample_Family_Two,Furniture Systems,Sample_Family_Two,C:\Users\chrjx\Documents\github\SampleCodeRevitBatchProcessor\test\_rbp_flow\_sampleFiles\FamilyDataOriginal\Sample_Family_Two.rfa,4,"[{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_Two"", ""element_id"": -2000083},{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_Two :: Sample_Family_Thirteen"", ""element_id"": -2000083},{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_Two :: Sample_Family_Eight"", ""element_id"": -2000083},{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_Two :: Sample_Family_Eight :: Section Tail - Upgrade"", ""element_id"": -2000083}]",Dash 06_BVN,1436489
LinePattern,Sample_Family_Two,Furniture Systems,Sample_Family_Two,C:\Users\chrjx\Documents\github\SampleCodeRevitBatchProcessor\test\_rbp_flow\_sampleFiles\FamilyDataOriginal\Sample_Family_Two.rfa,2,"[{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_Two"", ""element_id"": 8027264},{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_Two :: Sample_Family_Eight"", ""element_id"": 10600768}]",Dash dot,1499753
LinePattern,Sample_Family_Two :: Sample_Family_Thirteen,Furniture Systems :: Section Marks,Sample_Family_Thirteen,-,0,None,Hidden 04_BVN,1428068
LinePattern,Sample_Family_Two :: Sample_Family_Thirteen,Furniture Systems :: Section Marks,Sample_Family_Thirteen,-,1,"[{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_Two :: Sample_Family_Thirteen"", ""element_id"": -2000530}]",Reference Plane 02_BVN,1428069
LinePattern,Sample_Family_Two :: Sample_Family_Thirteen,Furniture Systems :: Section Marks,Sample_Family_Thirteen,-,1,"[{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_Two :: Sample_Family_Thirteen"", ""element_id"": -2000083}]",Dash 06_BVN,1436489
LinePattern,Sample_Family_Two :: Sample_Family_Eight,Furniture Systems :: Furniture Systems,Sample_Family_Eight,-,1,"[{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_Two :: Sample_Family_Eight"", ""element_id"": -2009518}]",Hidden 04_BVN,1428068
LinePattern,Sample_Family_Two :: Sample_Family_Eight,Furniture Systems :: Furniture Systems,Sample_Family_Eight,-,1,"[{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_Two :: Sample_Family_Eight"", ""element_id"": -2000530}]",Reference Plane 02_BVN,1428069
LinePattern,Sample_Family_Two :: Sample_Family_Eight,Furniture Systems :: Furniture Systems,Sample_Family_Eight,-,1,"[{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_Two :: Sample_Family_Eight"", ""element_id"": -2000083}]",Dash 06_BVN,1436489
LinePattern,Sample_Family_Two :: Sample_Family_Eight,Furniture Systems :: Furniture Systems,Sample_Family_Eight,-,1,"[{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_Two :: Sample_Family_Eight"", ""element_id"": 10600768}]",Dash dot,1499753
LinePattern,Sample_Family_Two :: Sample_Family_Eight :: Section Tail - Upgrade,Furniture Systems :: Furniture Systems :: Section Marks,Section Tail - Upgrade,-,0,None,Hidden 04_BVN,1428068
LinePattern,Sample_Family_Two :: Sample_Family_Eight :: Section Tail - Upgrade,Furniture Systems :: Furniture Systems :: Section Marks,Section Tail - Upgrade,-,1,"[{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_Two :: Sample_Family_Eight :: Section Tail - Upgrade"", ""element_id"": -2000530}]",Reference Plane 02_BVN,1428069
LinePattern,Sample_Family_Two :: Sample_Family_Eight :: Section Tail - Upgrade,Furniture Systems :: Furniture Systems :: Section Marks,Section Tail - Upgrade,-,1,"[{""data_type"": ""FamilyLinePatternDataStorageUsedBy"""," ""root_name_path"": ""Sample_Family_Two :: Sample_Family_Eight :: Section Tail - Upgrade"""," ""element_id"": -2000083}]",Dash 06_BVN,1436489
LinePattern,Sample_Family_Five,Specialty Equipment,Sample_Family_Five,C:\Users\chrjx\Documents\github\SampleCodeRevitBatchProcessor\test\_rbp_flow\_sampleFiles\FamilyDataOriginal\Sample_Family_Five.rfa,1,"[{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_Five"", ""element_id"": -2009527}]",BVNDH-Hidden,270229
LinePattern,Sample_Family_Five,Specialty Equipment,Sample_Family_Five,C:\Users\chrjx\Documents\github\SampleCodeRevitBatchProcessor\test\_rbp_flow\_sampleFiles\FamilyDataOriginal\Sample_Family_Five.rfa,2,"[{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_Five"", ""element_id"": -2000530},{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_Five :: Sample_Family_Thirteen"", ""element_id"": -2000530}]",BVNDH-Dash,270232
LinePattern,Sample_Family_Five,Specialty Equipment,Sample_Family_Five,C:\Users\chrjx\Documents\github\SampleCodeRevitBatchProcessor\test\_rbp_flow\_sampleFiles\FamilyDataOriginal\Sample_Family_Five.rfa,1,"[{""data_type"": ""FamilyLinePatternDataStorageUsedBy"", ""root_name_path"": ""Sample_Family_Five"", ""element_id"": 12319732}]",Dash dot,294796
LinePattern,Sample_Family_Five :: Sample_Family_Thirteen,Specialty Equipment :: Section Marks,Sample_Family_Thirteen,-,0,None,BVNDH-Hidden,270229
LinePattern,Sample_Family_Five :: Sample_Family_Thirteen,Specialty Equipment :: Section Marks,Sample_Family_Thirteen,-,1,[{"data_type": "FamilyLinePatternDataStorageUsedBy", "root_name_path": "Sample_Family_Five :: Sample_Family_Thirteen", "element_id": -2000530}],BVNDH-Dash,270232
